external_reference,name,street_db,city_db,lat,lng,GROUP_CONCAT(ct.name),GROUP_CONCAT(ct.code),GROUP_CONCAT(sc.power),public_access_type_id,geometry_db,google_match,distance_meters,placeId,not_on_google,connectors_db,formattedAddress,primaryType,location.latitude,location.longitude,displayName.text,displayName.languageCode,currentOpeningHours.openNow,currentOpeningHours.periods,currentOpeningHours.weekdayDescriptions,evChargeOptions.connectorCount,evChargeOptions.connectorAggregation,rating,userRatingCount,currentOpeningHours.nextCloseTime,street_google,city_google,country,geometry_google,not_in_db,connectors_google,missing_in_google,missing_in_db,type_match,power_match,connector_match
fca50ec6-7dac-11ee-8ea2-42010aa40fc0,Eleport,Ludwikowo,Bydgoszcz,53.13879908,17.97833584,"IEC 62196 Type 2 Mennekes,IEC 62196 Type 2 Mennekes","IEC_62196_T2,IEC_62196_T2","2,200,022,000",3,POINT (17.97833584 53.13879908),86,13.13960795,ChIJ-085ADQSA0cRHAFFdEaGSWg,,"[{'type': 'EV_CONNECTOR_TYPE_TYPE_2', 'power': 22.0, 'count': 2}]","Ludwikowo, 85-502 Bydgoszcz, Poland",electric_vehicle_charging_station,53.1389149,17.9782978,Eleport Charging Station,en,TRUE,"[{'open': {'day': 5, 'hour': 0, 'minute': 0, 'truncated': True, 'date': {'year': 2024, 'month': 11, 'day': 22}}, 'close': {'day': 4, 'hour': 23, 'minute': 59, 'truncated': True, 'date': {'year': 2024, 'month': 11, 'day': 28}}}]","['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",2,"[{'type': 'EV_CONNECTOR_TYPE_TYPE_2', 'maxChargeRateKw': 22, 'count': 2}]",,,,Ludwikowo,Bydgoszcz,Poland,POINT (17.9782978 53.138914899999996),,"[{'type': 'EV_CONNECTOR_TYPE_TYPE_2', 'power': 22, 'count': 2}]",{},{},TRUE,TRUE,TRUE
4fa5ceca-2158-11ec-a671-42010a840003,Eleport,aleja Piastów 4,Szczecin,53.432332,14.53896,"IEC 62196 Type 2 Mennekes,IEC 62196 Type 2 Mennekes","IEC_62196_T2,IEC_62196_T2","2,200,022,000",1,POINT (14.53896 53.432331999999995),102,8.548630839,ChIJ-1g3jj4JqkcR7pBVydDT-ck,,"[{'type': 'EV_CONNECTOR_TYPE_TYPE_2', 'power': 22.0, 'count': 2}]","al. Piastów 4, 70-325 Szczecin, Poland",electric_vehicle_charging_station,53.4324021,14.5390127,Eleport Charging Station,en,TRUE,"[{'open': {'day': 5, 'hour': 0, 'minute': 0, 'truncated': True, 'date': {'year': 2024, 'month': 11, 'day': 22}}, 'close': {'day': 4, 'hour': 23, 'minute': 59, 'truncated': True, 'date': {'year': 2024, 'month': 11, 'day': 28}}}]","['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",2,"[{'type': 'EV_CONNECTOR_TYPE_TYPE_2', 'maxChargeRateKw': 22, 'count': 2}]",,,,al. Piastów 4,Szczecin,Poland,POINT (14.539012700000002 53.4324021),,"[{'type': 'EV_CONNECTOR_TYPE_TYPE_2', 'power': 22, 'count': 2}]",{},{},TRUE,TRUE,TRUE
dcc882c8-f6ff-11ee-8c98-42010aa40043,Eleport,Marii Skłodowskiej-Curie,Tarnów,50.01693602,20.99306204,"IEC 62196 Type 2 Mennekes,IEC 62196 Type 2 Mennekes","IEC_62196_T2,IEC_62196_T2","2,200,022,000",3,POINT (20.99306204 50.01693602000001),137,8.877974744,ChIJ-ejsl1SDPUcREdaqqf-YVYY,X,"[{'type': 'EV_CONNECTOR_TYPE_TYPE_2', 'power': 22.0, 'count': 2}]",,,,,,,,,,,,,,,,,,,,,"{('EV_CONNECTOR_TYPE_TYPE_2', 22.0): 2}",{},FALSE,FALSE,FALSE
63cff608-0780-11ef-9c8e-42010aa40043,Eleport,Bytomska Stadion,Ruda Śląska,50.31900899,18.87747035,"IEC 62196 Type 2 Mennekes,IEC 62196 Type 2 Mennekes","IEC_62196_T2,IEC_62196_T2","2,200,022,000",3,POINT (18.877470349999996 50.31900899),61,8.079126781,ChIJ09bTvE4tEUcRAhKglZUOwaM,,"[{'type': 'EV_CONNECTOR_TYPE_TYPE_2', 'power': 22.0, 'count': 2}]","Bytomska Stadion, 41-712 Ruda Śląska, Poland",electric_vehicle_charging_station,50.318982,18.8775756,Eleport Charging Station,en,TRUE,"[{'open': {'day': 5, 'hour': 0, 'minute': 0, 'truncated': True, 'date': {'year': 2024, 'month': 11, 'day': 22}}, 'close': {'day': 4, 'hour': 23, 'minute': 59, 'truncated': True, 'date': {'year': 2024, 'month': 11, 'day': 28}}}]","['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",2,"[{'type': 'EV_CONNECTOR_TYPE_TYPE_2', 'maxChargeRateKw': 22, 'count': 2}]",,,,Bytomska Stadion,Ruda Śląska,Poland,POINT (18.8775756 50.31898199999999),,"[{'type': 'EV_CONNECTOR_TYPE_TYPE_2', 'power': 22, 'count': 2}]",{},{},TRUE,TRUE,TRUE
c6a35d5c-ab40-11ee-a830-42010aa40fc0,Eleport,ul. Biblioteczna,Tychy,50.126041,18.983875,"IEC 62196 Type 2 Mennekes,IEC 62196 Type 2 Mennekes","IEC_62196_T2,IEC_62196_T2","2,200,022,000",1,POINT (18.983875 50.126040999999994),64,0,ChIJ0SgBqBDIFkcRUGNBozx0mnE,,"[{'type': 'EV_CONNECTOR_TYPE_TYPE_2', 'power': 22.0, 'count': 2}]","Biblioteczna, 43-100 Tychy, Poland",electric_vehicle_charging_station,50.126041,18.983875,Eleport Charging Station,en,TRUE,"[{'open': {'day': 5, 'hour': 0, 'minute': 0, 'truncated': True, 'date': {'year': 2024, 'month': 11, 'day': 22}}, 'close': {'day': 4, 'hour': 23, 'minute': 59, 'truncated': True, 'date': {'year': 2024, 'month': 11, 'day': 28}}}]","['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",2,"[{'type': 'EV_CONNECTOR_TYPE_TYPE_2', 'maxChargeRateKw': 22, 'count': 2}]",,,,Biblioteczna,Tychy,Poland,POINT (18.983875 50.126040999999994),,"[{'type': 'EV_CONNECTOR_TYPE_TYPE_2', 'power': 22, 'count': 2}]",{},{},TRUE,TRUE,TRUE
446c20c2-f104-11ed-9c96-42010aa40fc0,Eleport,Dekabrystów,Częstochowa,50.827944,19.119667,"IEC 62196 Type 2 Mennekes,IEC 62196 Type 2 Mennekes","IEC_62196_T2,IEC_62196_T2","2,200,022,000",3,POINT (19.119667 50.827943999999995),101,0.04935113099,ChIJ0ZMAcSm0EEcRSeRTfsvQJdo,,"[{'type': 'EV_CONNECTOR_TYPE_TYPE_2', 'power': 22.0, 'count': 2}]","Dekabrystów, 42-202 Częstochowa, Poland",electric_vehicle_charging_station,50.827944,19.1196677,Eleport Charging Station,en,TRUE,"[{'open': {'day': 5, 'hour': 0, 'minute': 0, 'truncated': True, 'date': {'year': 2024, 'month': 11, 'day': 22}}, 'close': {'day': 4, 'hour': 23, 'minute': 59, 'truncated': True, 'date': {'year': 2024, 'month': 11, 'day': 28}}}]","['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",2,"[{'type': 'EV_CONNECTOR_TYPE_TYPE_2', 'maxChargeRateKw': 22, 'count': 2}]",,,,Dekabrystów,Częstochowa,Poland,POINT (19.119667699999997 50.82794399999999),,"[{'type': 'EV_CONNECTOR_TYPE_TYPE_2', 'power': 22, 'count': 2}]",{},{},TRUE,TRUE,TRUE
6a63bdc0-1866-11ed-b5ef-42010aa40fc0,Eleport,Marysia,Częstochowa,50.803861,19.151694,"IEC 62196 Type 2 Mennekes,IEC 62196 Type 2 Mennekes,IEC 62196 Type 2 Mennekes,IEC 62196 Type 2 Mennekes","IEC_62196_T2,IEC_62196_T2,IEC_62196_T2,IEC_62196_T2","22000,22000,22000,22000",1,POINT (19.151694 50.803861),104,9.39E-10,ChIJ0eXHvKW1EEcRlW_5tQ-V8WM,,"[{'type': 'EV_CONNECTOR_TYPE_TYPE_2', 'power': 22.0, 'count': 4}]","Marysia, 42-200 Częstochowa, Poland",electric_vehicle_charging_station,50.803861,19.151694,Eleport Charging Station,en,TRUE,"[{'open': {'day': 5, 'hour': 0, 'minute': 0, 'truncated': True, 'date': {'year': 2024, 'month': 11, 'day': 22}}, 'close': {'day': 4, 'hour': 23, 'minute': 59, 'truncated': True, 'date': {'year': 2024, 'month': 11, 'day': 28}}}]","['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",4,"[{'type': 'EV_CONNECTOR_TYPE_TYPE_2', 'maxChargeRateKw': 22, 'count': 4}]",,,,Marysia,Częstochowa,Poland,POINT (19.151694 50.803861000000005),,"[{'type': 'EV_CONNECTOR_TYPE_TYPE_2', 'power': 22, 'count': 4}]",{},{},TRUE,TRUE,TRUE
65bc4530-748d-11ec-84d0-42010a840003,Eleport,Okólna/Dekabrystów,Częstochowa,50.82498306,19.10674078,"IEC 62196 Type 2 Mennekes,IEC 62196 Type 2 Mennekes","IEC_62196_T2,IEC_62196_T2","2,200,022,000",3,POINT (19.10674078 50.82498306000001),75,0.00467054032,ChIJ0y-TlYC2EEcRfE4GclZWYbk,,"[{'type': 'EV_CONNECTOR_TYPE_TYPE_2', 'power': 22.0, 'count': 2}]","Okólna, Dekabrystów 105, 42-200 Częstochowa, Poland",electric_vehicle_charging_station,50.8249831,19.1067408,Eleport Charging Station,en,TRUE,"[{'open': {'day': 5, 'hour': 0, 'minute': 0, 'truncated': True, 'date': {'year': 2024, 'month': 11, 'day': 22}}, 'close': {'day': 4, 'hour': 23, 'minute': 59, 'truncated': True, 'date': {'year': 2024, 'month': 11, 'day': 28}}}]","['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",2,"[{'type': 'EV_CONNECTOR_TYPE_TYPE_2', 'maxChargeRateKw': 22, 'count': 2}]",,,,Okólna,Dekabrystów 105,"42-200 Częstochowa, Poland",POINT (19.1067408 50.8249831),,"[{'type': 'EV_CONNECTOR_TYPE_TYPE_2', 'power': 22, 'count': 2}]",{},{},TRUE,TRUE,TRUE
de27421c-f6ff-11ee-a2e8-42010aa40043,Eleport,Hodowlana,Tarnów,50.01666932,20.95865381,"IEC 62196 Type 2 Mennekes,IEC 62196 Type 2 Mennekes","IEC_62196_T2,IEC_62196_T2","2,200,022,000",3,POINT (20.95865381 50.01666931999999),143,0.002341486102,ChIJ18Nxrp-EPUcRohODNHRvL9Y,X,"[{'type': 'EV_CONNECTOR_TYPE_TYPE_2', 'power': 22.0, 'count': 2}]",,,,,,,,,,,,,,,,,,,,,"{('EV_CONNECTOR_TYPE_TYPE_2', 22.0): 2}",{},FALSE,FALSE,FALSE
2aa147b0-59b7-11ed-a8f2-42010aa40fc0,Eleport,Krakowska 67,Szczecin,53.40379758,14.50050474,"IEC 62196 Type 2 Mennekes,IEC 62196 Type 2 Mennekes,IEC 62196 Type 2 Mennekes,IEC 62196 Type 2 Mennekes,IEC 62196 Type 2 Mennekes,CHAdeMO, DC,IEC 62196 Type 2 Mennekes Combo, DC,IEC 62196 Type 2 Mennekes,IEC 62196 Type 2 Mennekes,CHAdeMO, DC,IEC 62196 Type 2 Mennekes Combo, DC,CHAdeMO, DC,IEC 62196 Type 2 Mennekes Combo, DC,IEC 62196 Type 2 Mennekes,IEC 62196 Type 2 Mennekes Combo, DC,IEC 62196 Type 2 Mennekes,IEC 62196 Type 2 Mennekes","IEC_62196_T2,IEC_62196_T2,IEC_62196_T2,IEC_62196_T2,IEC_62196_T2,CHADEMO,IEC_62196_T2_COMBO,IEC_62196_T2,IEC_62196_T2,CHADEMO,IEC_62196_T2_COMBO,CHADEMO,IEC_62196_T2_COMBO,IEC_62196_T2,IEC_62196_T2_COMBO,IEC_62196_T2,IEC_62196_T2","22000,22000,22000,11000,22000,50000,150000,22000,22000,40000,40000,20000,50000,22000,20000,11000,22000",3,POINT (14.500504740000002 53.40379758),128,6.052242617,ChIJ18x5g-oJqkcRa1nvBDUMH5k,X,"[{'type': 'EV_CONNECTOR_TYPE_TYPE_2', 'power': 22.0, 'count': 8}, {'type': 'EV_CONNECTOR_TYPE_TYPE_2', 'power': 11.0, 'count': 2}, {'type': 'EV_CONNECTOR_TYPE_CHADEMO', 'power': 50.0, 'count': 1}, {'type': 'EV_CONNECTOR_TYPE_CCS_COMBO_2', 'power': 150.0, 'count': 1}, {'type': 'EV_CONNECTOR_TYPE_CHADEMO', 'power': 40.0, 'count': 1}, {'type': 'EV_CONNECTOR_TYPE_CCS_COMBO_2', 'power': 40.0, 'count': 1}, {'type': 'EV_CONNECTOR_TYPE_CHADEMO', 'power': 20.0, 'count': 1}, {'type': 'EV_CONNECTOR_TYPE_CCS_COMBO_2', 'power': 50.0, 'count': 1}, {'type': 'EV_CONNECTOR_TYPE_CCS_COMBO_2', 'power': 20.0, 'count': 1}]",,,,,,,,,,,,,,,,,,,,,"{('EV_CONNECTOR_TYPE_TYPE_2', 22.0): 8, ('EV_CONNECTOR_TYPE_TYPE_2', 11.0): 2, ('EV_CONNECTOR_TYPE_CHADEMO', 50.0): 1, ('EV_CONNECTOR_TYPE_CCS_COMBO_2', 150.0): 1, ('EV_CONNECTOR_TYPE_CHADEMO', 40.0): 1, ('EV_CONNECTOR_TYPE_CCS_COMBO_2', 40.0): 1, ('EV_CONNECTOR_TYPE_CHADEMO', 20.0): 1, ('EV_CONNECTOR_TYPE_CCS_COMBO_2', 50.0): 1, ('EV_CONNECTOR_TYPE_CCS_COMBO_2', 20.0): 1}",{},FALSE,FALSE,FALSE
7add47a8-a040-11ee-8788-42010aa40fc0,Eleport,ul. Edukacji,Tychy,50.12295724,18.98974166,"IEC 62196 Type 2 Mennekes,IEC 62196 Type 2 Mennekes","IEC_62196_T2,IEC_62196_T2","2,200,022,000",1,POINT (18.989741660000004 50.122957239999984),31,11.73070921,ChIJ1R9dJQXIFkcR8PVD76_YNRw,,"[{'type': 'EV_CONNECTOR_TYPE_TYPE_2', 'power': 22.0, 'count': 2}]","Edukacji, 43-100 Tychy, Poland",electric_vehicle_charging_station,50.1229938,18.9895879,Eleport Charging Station,en,TRUE,"[{'open': {'day': 5, 'hour': 0, 'minute': 0, 'truncated': True, 'date': {'year': 2024, 'month': 11, 'day': 22}}, 'close': {'day': 4, 'hour': 23, 'minute': 59, 'truncated': True, 'date': {'year': 2024, 'month': 11, 'day': 28}}}]","['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",2,"[{'type': 'EV_CONNECTOR_TYPE_TYPE_2', 'maxChargeRateKw': 22, 'count': 2}]",,,,Edukacji,Tychy,Poland,POINT (18.9895879 50.122993799999996),,"[{'type': 'EV_CONNECTOR_TYPE_TYPE_2', 'power': 22, 'count': 2}]",{},{},TRUE,TRUE,TRUE
0499c3fa-3ba6-11ed-ad5d-42010aa40fc0,Eleport,Przyjaciół Ronda 2,Szczecin,53.45469231,14.56009916,"IEC 62196 Type 2 Mennekes,IEC 62196 Type 2 Mennekes","IEC_62196_T2,IEC_62196_T2","2,200,022,000",1,POINT (14.560099159999998 53.454692309999984),24,67.6550161,ChIJ1YlUS2AJqkcRk08oudojolw,,"[{'type': 'EV_CONNECTOR_TYPE_TYPE_2', 'power': 22.0, 'count': 2}]","Przyjaciół Ronda 2, 42-202 Szczecin, Poland",electric_vehicle_charging_station,53.4542327,14.559432,Eleport Charging Station,en,TRUE,"[{'open': {'day': 5, 'hour': 0, 'minute': 0, 'truncated': True, 'date': {'year': 2024, 'month': 11, 'day': 22}}, 'close': {'day': 4, 'hour': 23, 'minute': 59, 'truncated': True, 'date': {'year': 2024, 'month': 11, 'day': 28}}}]","['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",2,"[{'type': 'EV_CONNECTOR_TYPE_TYPE_2', 'maxChargeRateKw': 22, 'count': 2}]",,,,Przyjaciół Ronda 2,Szczecin,Poland,POINT (14.559432000000001 53.454232699999984),,"[{'type': 'EV_CONNECTOR_TYPE_TYPE_2', 'power': 22, 'count': 2}]",{},{},TRUE,TRUE,TRUE
f4953f9a-2d26-11ec-8d1a-42010a840003,Eleport,9 Maja 5,Szczecin,53.40327641,14.5212088,"IEC 62196 Type 2 Mennekes,IEC 62196 Type 2 Mennekes","IEC_62196_T2,IEC_62196_T2","2,200,022,000",1,POINT (14.521208800000002 53.40327641),28,4.499676467,ChIJ1alfncMIqkcRSyriOGczd9E,,"[{'type': 'EV_CONNECTOR_TYPE_TYPE_2', 'power': 22.0, 'count': 2}]","9 Maja 5, 70-136 Szczecin, Poland",electric_vehicle_charging_station,53.4032929,14.5212706,Eleport Charging Station,en,TRUE,"[{'open': {'day': 5, 'hour': 0, 'minute': 0, 'truncated': True, 'date': {'year': 2024, 'month': 11, 'day': 22}}, 'close': {'day': 4, 'hour': 23, 'minute': 59, 'truncated': True, 'date': {'year': 2024, 'month': 11, 'day': 28}}}]","['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",2,"[{'type': 'EV_CONNECTOR_TYPE_TYPE_2', 'maxChargeRateKw': 22, 'count': 2}]",,,,9 Maja 5,Szczecin,Poland,POINT (14.5212706 53.403292900000004),,"[{'type': 'EV_CONNECTOR_TYPE_TYPE_2', 'power': 22, 'count': 2}]",{},{},TRUE,TRUE,TRUE
64bc4d80-0c37-11ef-9f07-42010aa40043,Eleport,Strzelców Bytomskich 135 Vitor,Bytom,50.38439076,18.88277768,"IEC 62196 Type 2 Mennekes,IEC 62196 Type 2 Mennekes,IEC 62196 Type 2 Mennekes,IEC 62196 Type 2 Mennekes,IEC 62196 Type 2 Mennekes Combo, DC,IEC 62196 Type 2 Mennekes,CHAdeMO, DC","IEC_62196_T2,IEC_62196_T2,IEC_62196_T2,IEC_62196_T2,IEC_62196_T2_COMBO,IEC_62196_T2,CHADEMO","22000,22000,22000,22000,50000,22000,50000",1,POINT (18.88277768 50.384390759999995),12,16.11723491,ChIJ1yQxRIMsEUcR4SlHIM58P44,,"[{'type': 'EV_CONNECTOR_TYPE_TYPE_2', 'power': 22.0, 'count': 5}, {'type': 'EV_CONNECTOR_TYPE_CCS_COMBO_2', 'power': 50.0, 'count': 1}, {'type': 'EV_CONNECTOR_TYPE_CHADEMO', 'power': 50.0, 'count': 1}]","Strzelców Bytomskich 135, 41-914 Bytom, Poland",electric_vehicle_charging_station,50.3845337,18.882814,Eleport Charging Station,en,TRUE,"[{'open': {'day': 5, 'hour': 0, 'minute': 0, 'truncated': True, 'date': {'year': 2024, 'month': 11, 'day': 22}}, 'close': {'day': 4, 'hour': 23, 'minute': 59, 'truncated': True, 'date': {'year': 2024, 'month': 11, 'day': 28}}}]","['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",7,"[{'type': 'EV_CONNECTOR_TYPE_CHADEMO', 'maxChargeRateKw': 50, 'count': 1}, {'type': 'EV_CONNECTOR_TYPE_TYPE_2', 'maxChargeRateKw': 22, 'count': 5}, {'type': 'EV_CONNECTOR_TYPE_CCS_COMBO_2', 'maxChargeRateKw': 50, 'count': 1}]",,,,Strzelców Bytomskich 135,Bytom,Poland,POINT (18.882814 50.3845337),,"[{'type': 'EV_CONNECTOR_TYPE_CHADEMO', 'power': 50, 'count': 1}, {'type': 'EV_CONNECTOR_TYPE_TYPE_2', 'power': 22, 'count': 5}, {'type': 'EV_CONNECTOR_TYPE_CCS_COMBO_2', 'power': 50, 'count': 1}]",{},{},TRUE,TRUE,TRUE
dce1d426-f6ff-11ee-b747-42010aa40043,Eleport,os. Legionów Dąbrowskiego,Tarnów,50.02682844,21.00153844,"IEC 62196 Type 2 Mennekes,IEC 62196 Type 2 Mennekes","IEC_62196_T2,IEC_62196_T2","2,200,022,000",3,POINT (21.00153844 50.026828439999996),138,0.005302388241,ChIJ22-YWEuDPUcRyFI3zeM-uFM,X,"[{'type': 'EV_CONNECTOR_TYPE_TYPE_2', 'power': 22.0, 'count': 2}]",,,,,,,,,,,,,,,,,,,,,"{('EV_CONNECTOR_TYPE_TYPE_2', 22.0): 2}",{},FALSE,FALSE,FALSE
2c581782-59b7-11ed-b45b-42010aa40fc0,Eleport,Elizy Orzeszkowej,Szczecin,53.448,14.554417,"IEC 62196 Type 2 Mennekes,IEC 62196 Type 2 Mennekes Combo, DC,IEC 62196 Type 2 Mennekes,IEC 62196 Type 2 Mennekes,CHAdeMO, DC","IEC_62196_T2,IEC_62196_T2_COMBO,IEC_62196_T2,IEC_62196_T2,CHADEMO","22000,50000,22000,22000,50000",3,POINT (14.554417000000003 53.44799999999999),5,0.03502121448,ChIJ28fQl2cJqkcRg2CPZNigGwU,,"[{'type': 'EV_CONNECTOR_TYPE_TYPE_2', 'power': 22.0, 'count': 3}, {'type': 'EV_CONNECTOR_TYPE_CCS_COMBO_2', 'power': 50.0, 'count': 1}, {'type': 'EV_CONNECTOR_TYPE_CHADEMO', 'power': 50.0, 'count': 1}]","Elizy Orzeszkowej, 71-564 Szczecin, Poland",electric_vehicle_charging_station,53.4480001,14.5544175,Eleport Charging Station,en,TRUE,"[{'open': {'day': 5, 'hour': 0, 'minute': 0, 'truncated': True, 'date': {'year': 2024, 'month': 11, 'day': 22}}, 'close': {'day': 4, 'hour': 23, 'minute': 59, 'truncated': True, 'date': {'year': 2024, 'month': 11, 'day': 28}}}]","['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",5,"[{'type': 'EV_CONNECTOR_TYPE_CHADEMO', 'maxChargeRateKw': 50, 'count': 1}, {'type': 'EV_CONNECTOR_TYPE_TYPE_2', 'maxChargeRateKw': 22, 'count': 3}, {'type': 'EV_CONNECTOR_TYPE_CCS_COMBO_2', 'maxChargeRateKw': 50, 'count': 1}]",,,,Elizy Orzeszkowej,Szczecin,Poland,POINT (14.554417500000001 53.44800009999999),,"[{'type': 'EV_CONNECTOR_TYPE_CHADEMO', 'power': 50, 'count': 1}, {'type': 'EV_CONNECTOR_TYPE_TYPE_2', 'power': 22, 'count': 3}, {'type': 'EV_CONNECTOR_TYPE_CCS_COMBO_2', 'power': 50, 'count': 1}]",{},{},TRUE,TRUE,TRUE
672b2faa-0c37-11ef-ae1e-42010aa40043,Eleport,Zielna,Bytom,50.339823,18.900041,"IEC 62196 Type 2 Mennekes,IEC 62196 Type 2 Mennekes","IEC_62196_T2,IEC_62196_T2","2,200,022,000",3,POINT (18.900040999999998 50.339823),44,1.785752413,ChIJ2X3tLystEUcRdZV_oxKWbMg,,"[{'type': 'EV_CONNECTOR_TYPE_TYPE_2', 'power': 22.0, 'count': 2}]","Zielna 25, 41-907 Bytom, Poland",electric_vehicle_charging_station,50.339808,18.9000321,Eleport Charging Station,en,TRUE,"[{'open': {'day': 5, 'hour': 0, 'minute': 0, 'truncated': True, 'date': {'year': 2024, 'month': 11, 'day': 22}}, 'close': {'day': 4, 'hour': 23, 'minute': 59, 'truncated': True, 'date': {'year': 2024, 'month': 11, 'day': 28}}}]","['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",2,"[{'type': 'EV_CONNECTOR_TYPE_TYPE_2', 'maxChargeRateKw': 22, 'count': 2}]",,,,Zielna 25,Bytom,Poland,POINT (18.9000321 50.339808),,"[{'type': 'EV_CONNECTOR_TYPE_TYPE_2', 'power': 22, 'count': 2}]",{},{},TRUE,TRUE,TRUE
28d8e690-24f1-11ed-a310-42010aa40fc0,Eleport,Racławicka,Częstochowa,50.8133894,19.1113334,"IEC 62196 Type 2 Mennekes,IEC 62196 Type 2 Mennekes,IEC 62196 Type 2 Mennekes,IEC 62196 Type 2 Mennekes","IEC_62196_T2,IEC_62196_T2,IEC_62196_T2,IEC_62196_T2","22000,22000,22000,22000",3,POINT (19.1113334 50.8133894),125,9.31E-10,ChIJ2fKRRte1EEcRAojqCJWK0LM,X,"[{'type': 'EV_CONNECTOR_TYPE_TYPE_2', 'power': 22.0, 'count': 4}]",,,,,,,,,,,,,,,,,,,,,"{('EV_CONNECTOR_TYPE_TYPE_2', 22.0): 4}",{},FALSE,FALSE,FALSE
